               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.013778,           0.0081462,                   0,             0.99933,                   1,               0.995,              0.9418,           0.0072495,           0.0032752,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.01232,             0.00763,                   0,             0.99936,                   1,               0.995,             0.95229,           0.0074431,             0.00323,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.012354,             0.00775,                   0,             0.99928,                   1,               0.995,             0.97002,           0.0068024,           0.0031385,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.011778,            0.007553,                   0,             0.99931,                   1,               0.995,             0.95545,           0.0081863,           0.0032695,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.011171,           0.0065988,                   0,             0.99936,                   1,               0.995,             0.96875,           0.0068641,           0.0030288,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.010576,            0.007212,                   0,             0.99944,                   1,               0.995,             0.97224,           0.0066058,            0.002912,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.011377,           0.0072365,                   0,             0.99944,                   1,               0.995,             0.96702,           0.0068839,           0.0029984,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.010798,           0.0072065,                   0,             0.99946,                   1,               0.995,             0.96779,           0.0061093,           0.0029013,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.011026,           0.0073188,                   0,             0.99947,                   1,               0.995,             0.96678,           0.0061836,           0.0029835,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.010137,           0.0068905,                   0,              0.9995,                   1,               0.995,             0.97571,           0.0058588,           0.0029045,                   0,            0.000694,            0.000694,            0.000694
                  49,           0.0095933,           0.0066887,                   0,             0.99948,                   1,               0.995,             0.97308,           0.0059169,           0.0028964,                   0,            0.000496,            0.000496,            0.000496
